TWEET_ID,TWEET,RUMOUR_NONRUMOR,RETWEETS
524950117192044544,RCMP advises if you are in downtown Ottawa to stay away from windows and off roofs due to ongoing police incident.,1,I'd say that also includes downtown Gatineau @curryb #ottawa #shooting
524950117192044544,RCMP advises if you are in downtown Ottawa to stay away from windows and off roofs due to ongoing police incident.,1,@curryb Stay safe Bill!
524950117192044544,RCMP advises if you are in downtown Ottawa to stay away from windows and off roofs due to ongoing police incident.,1,@curryb: RCMP advises if you are in downtown Ottawa to stay away from windows and off roofs due to ongoing police incident. #BeSafeOttawa
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail @exjon And this is literally at our door. Pres won't secure our borders from #ebola or #ISIS...why is that?
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,Holy shit!!! @globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/AQweBsfdTs
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/EFkaKoY3u1 new link.
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail How is the suspect STILL on the loose? And how was he able to drive right up to centre block get inside &amp; start shooting?
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/6SVYevOT4V Disturbing
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,Chilling footage: @globeandmail: Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/SIQyjpAKpB
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail FOX-7 News in Austin Tx here.. May we use you video on the air? We will credit The Globe and Mail.
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,Thoughts to all involved. @globeandmail: Footage fr Globe reporter captures exchange of gun fire in Parliament Hill https://t.co/tvhcyltFKf
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/qnOzl1GynU wow.
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,Wow @globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/6XLV4cXBSj
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail Surreal video. Shocking. #cdnpoli
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail HOLY KRUD!
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail irresponsible use of fire arms creates laws that restrict them? Use your voice not your gun. Guns don't create solutions.
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/bNqfhPI1mx
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail: Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/gisvSVGgvc here it is
524941720249978880,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,0,@globeandmail sounded like 9 rest echoes
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,@EmmaatTheSpec So very sad. :(
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,@EmmaatTheSpec RIP Nathan. How tragic.
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,@EmmaatTheSpec @TheSpec May our lost soldier's family find comfort from us all xo
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,@EmmaatTheSpec @HamOntNews32 God Bless Nathan Cirillo! A true Canadian hero! He will be remembered!
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,So sad! @EmmaatTheSpec: #HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/fTC2sxPSe1
525022663102963712,#HamOnt reservist Nathan Cirillo was on duty in Ottawa today when he was fatally shot. http://t.co/ChPobw7w2x,0,@EmmaatTheSpec He's always smiling in all his photos
524993612279336960,Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/0bsWWWfxXI http://t.co/c7uTeVqQGH,1,@RealAlexJones 100 yrds from street to front of par/building..how does guy with long gun make it in past 4 armed security officers?
524993612279336960,Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/0bsWWWfxXI http://t.co/c7uTeVqQGH,1,@RealAlexJones: Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/u0YghPtg1J http://t.co/d5BJ2YJy5W
524993612279336960,Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/0bsWWWfxXI http://t.co/c7uTeVqQGH,1,@RealAlexJones Heaven forbid that the real story should get out before the RCMP  had a chance to censor/whitewash it.
524993612279336960,Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/0bsWWWfxXI http://t.co/c7uTeVqQGH,1,@RealAlexJones it's still on gong makes sense tomorrow they should be able to upload what they want worry about you own country
524993612279336960,Censorship: RCMP Asks Public Not to Post Photos Videos of #OttawaShooting http://t.co/0bsWWWfxXI http://t.co/c7uTeVqQGH,1,@RealAlexJones does more to expose the horrible truth than anyone on #MSM. #LionelNation
